Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
9.56,5.96,1.2,0.557,G0V
7.32,3.52,1.1,1.626,M2III
10.94,22.1,2.59,1.125,
8.93,5.35,1.38,0.264,
9.38,11.43,1.47,0.570,G2V
6.91,2.42,0.82,1.384,K0
5.66,4.63,1.49,0.46,B5V
9.47,29.52,1.28,1.70,K5
10.50,7.71,1.89,0.635,
8.23,5.77,1.16,0.458,F0
9.22,11.78,2.43,0.706,G5V
6.22,7.93,0.83,0.206,A5V
7.57,4.73,1.52,0.200,A2
9.35,11.19,1.65,0.612,G0
7.57,37.25,1.19,0.684,G0
8.53,11.11,1.33,0.512,F5
8.84,2.46,1.25,0.69,A2
7.90,1.36,0.95,1.567,K2
7.91,2.67,0.77,0.868,
7.73,12.53,0.96,0.533,F5
9.21,2.90,1.28,0.398,F5
6.77,4.58,0.90,0.5,B9
6.77,25.34,0.89,0.583,G0
10.19,1.49,2.87,1.122,
8.71,2.75,0.80,1.189,K1III
8.95,3.6,1.35,0.490,B8
6.82,9.30,0.86,0.220,A2
8.26,4.75,1.14,0.151,A0
7.43,2.4,1.0,0.44,B2V
8.87,7.58,1.5,0.828,
6.73,3.98,0.74,0.161,A2
8.56,3.31,0.84,0.466,
11.44,42.9,6.17,1.523,
7.94,5.49,1.40,0.210,A0
9.88,6.55,1.62,0.578,F8
8.0,4.85,0.87,1.198,K0
8.60,3.68,1.28,1.256,K0
8.89,6.79,0.88,0.288,A5III
9.47,3.93,0.89,0.500,F6V
6.74,13.0,0.94,0.399,F0
7.18,7.2,1.2,1.64,G5
8.68,2.84,1.33,1.540,
8.76,0.20,1.17,2.153,M0
8.99,6.0,1.38,0.529,F5
7.67,2.79,0.94,1.80,
9.37,5.71,1.31,0.427,F5
7.39,4.13,0.78,0.351,F0
10.29,0.53,1.86,0.388,A2
9.48,5.33,1.13,0.529,
9.69,0.63,1.52,0.190,A0
8.14,6.95,1.9,0.481,F2
8.69,3.10,0.84,1.46,K2III
8.86,10.5,1.37,0.580,F8
8.44,3.14,0.83,1.218,K2III
9.68,9.99,0.95,0.674,
6.73,8.11,0.78,0.896,K0
7.59,4.43,0.71,1.267,K3III
10.84,4.66,2.15,0.723,G5
5.48,6.49,0.91,0.90,B8+
7.32,5.13,0.79,0.948,G0
9.19,4.72,1.32,0.510,F5
9.71,2.90,2.95,0.606,F8
8.97,4.69,1.37,1.309,K0
8.23,8.77,1.17,0.385,A3
7.69,5.61,1.13,1.126,K0
8.34,2.93,0.89,0.107,A0
10.44,4.91,2.7,0.630,A2
9.82,16.39,1.21,0.750,K0V
8.36,0.29,1.23,0.400,B1III
9.51,1.86,1.59,0.149,A0
7.9,10.91,0.87,0.304,A9V
9.44,8.57,1.57,0.480,F8
8.62,8.58,0.82,0.337,F0V
9.78,0.69,1.57,0.240,A0
8.34,8.86,0.73,1.75,
7.92,8.58,1.71,1.58,G5
7.70,5.5,1.1,1.297,K1III
7.91,3.15,0.97,0.93,A0III
8.77,4.54,1.22,0.460,F2
8.82,2.58,1.16,1.63,K0
8.0,11.45,1.10,0.644,G0IV
7.51,8.62,0.95,0.410,F5
8.97,3.17,2.27,1.473,M4.5
8.54,0.40,1.99,0.117,B9
8.39,4.0,1.17,1.120,G8III
8.42,3.60,1.16,0.933,
6.56,2.31,0.83,0.88,B9
5.97,24.14,0.90,0.354,F4V
8.23,7.39,1.48,0.402,F0
8.5,1.91,0.93,0.176,B5
6.21,4.67,0.81,0.866,
7.47,12.75,0.95,0.515,F8IV
10.24,4.16,2.18,0.210,
9.23,8.81,1.47,0.555,G0
8.62,3.6,1.9,0.219,A3
9.44,5.21,1.35,0.610,F5
9.8,7.62,2.80,0.511,F5V
12.13,39.48,2.69,1.450,K
8.29,3.68,1.54,1.540,K2
8.68,0.85,1.28,0.60,A0
7.75,1.89,0.58,0.120,B6V
8.99,6.51,0.86,0.561,F7V
7.60,0.4,1.14,1.126,K0
7.89,3.59,0.98,0.999,K0
7.22,24.16,0.68,0.530,F6V
7.46,4.68,0.98,1.309,G5
8.30,3.93,1.7,0.300,A0
6.72,8.13,0.96,0.50,B9
9.3,5.73,1.33,0.558,F8V
6.93,3.32,0.80,1.568,K4III
7.84,7.29,1.16,0.240,A2
9.15,0.94,1.23,1.476,K2
8.83,3.38,1.34,0.83,A0
10.79,2.93,5.36,0.506,F5
8.23,2.49,0.72,1.635,
5.93,9.6,0.56,1.220,K3III
6.35,6.82,0.97,0.110,A2V
7.91,3.82,0.69,0.962,
8.54,6.11,1.32,0.594,F5
9.19,12.53,1.35,0.672,G0
9.22,2.9,1.31,0.967,G5
8.17,1.81,0.87,0.949,G8III
8.44,10.8,1.20,0.540,F6V
7.89,8.98,1.5,0.840,G8V
7.75,3.26,0.88,0.575,F8
7.99,2.15,0.75,0.919,G5
9.46,6.26,0.89,0.334,F0V
5.76,7.58,0.78,1.40,K0III
5.11,9.19,0.56,0.133,
8.58,4.65,1.12,0.241,A0
8.55,2.42,1.7,0.110,B9V
4.64,8.46,0.75,0.136,B5V
5.80,19.14,0.69,0.182,A5m
8.15,15.76,1.95,0.624,G0V
8.84,-1.4,1.86,0.345,A2
8.25,9.72,1.19,0.498,F5
9.56,6.86,1.49,0.529,F8
8.27,6.26,1.31,1.68,K0
7.94,2.1,1.8,1.326,K2III
9.22,4.1,1.21,1.24,G5
7.92,3.50,0.75,1.104,K0III
8.95,5.17,1.34,0.516,F5
10.80,1.50,2.19,0.540,G0
8.53,4.94,1.23,1.177,G5
8.66,2.38,0.79,1.358,K3III
7.48,1.35,1.1,1.49,G8II
9.3,3.20,1.13,1.79,K0
7.76,3.68,0.72,1.45,G5
7.77,8.4,0.99,0.246,
10.17,5.29,1.83,0.471,F8
6.68,15.87,0.81,0.820,
7.33,5.34,1.3,1.40,K0III
7.90,5.19,1.3,1.161,K0
8.29,3.23,0.89,0.296,A3
9.61,9.10,1.69,0.643,G0
8.84,4.54,1.10,0.278,A
8.80,2.5,0.92,1.244,K2III
8.61,2.44,1.28,1.903,K5
8.60,3.99,1.22,0.115,B9
11.16,8.69,3.13,0.547,F5
8.39,2.39,1.9,1.94,K0
2.84,3.32,0.75,0.271,B1Ib
9.46,4.21,1.32,0.559,F7V
8.88,5.68,1.35,0.298,A7V
9.66,5.75,1.26,0.564,F7V
9.64,1.93,1.37,0.441,F8
9.57,4.96,1.60,0.530,F8
8.72,4.10,1.61,1.4,G5
11.94,24.61,3.43,1.460,M0V
6.99,6.93,0.74,0.197,A4IV
4.46,9.46,0.86,0.672,G8III
9.79,6.19,1.59,0.552,F8V
9.0,6.73,1.38,0.339,A2
9.55,3.68,1.43,0.523,A0
9.1,2.50,1.6,0.237,A2
8.64,0.69,2.63,1.291,
7.97,22.13,1.23,0.631,G0
5.70,6.32,0.57,0.599,K0III
10.94,6.64,2.81,0.714,
8.93,4.8,1.42,0.323,
7.44,7.17,1.14,0.409,
10.96,10.26,2.56,0.737,
6.81,48.36,1.2,0.719,G0
8.28,3.47,1.8,0.395,F0
8.29,3.23,1.43,0.400,B8
8.79,10.81,1.19,0.491,F6V
8.21,13.61,1.20,0.641,G3V
8.1,4.29,1.94,0.187,
10.79,10.10,2.78,0.749,G5
7.55,5.95,1.2,1.107,G5
6.46,9.33,0.52,0.158,A4V
7.97,3.80,1.8,0.994,G5
7.6,8.41,0.91,0.365,F2
9.29,0.79,1.21,1.272,K2III
8.58,4.15,1.2,1.214,K0
9.2,64.90,1.18,1.366,M0V
8.58,9.47,1.22,0.466,F3V
8.16,1.27,0.97,1.549,K0
8.33,4.44,1.9,0.150,B9
11.24,-3.67,3.69,1.780,M0
9.10,5.78,1.36,0.564,F8
6.90,10.69,0.63,0.156,A3V
8.56,0.30,1.15,1.576,K2
9.48,3.22,0.92,0.386,F3V
8.13,3.57,1.16,0.127,A0
8.78,4.8,1.16,0.226,A0
9.97,0.99,1.68,1.499,
6.80,7.13,0.91,0.975,G5
8.40,15.2,1.45,0.581,G5
8.85,1.50,0.97,1.49,
8.84,0.66,1.16,0.80,A0
7.95,3.25,1.13,0.48,B9
7.42,8.98,1.13,0.69,A0
8.99,7.74,1.29,0.429,F3V
8.80,9.60,1.16,0.457,
7.66,3.3,0.65,0.19,B9
8.17,3.32,1.17,1.409,
9.37,9.9,1.30,0.637,G3V
9.11,4.99,0.85,0.577,G0IV
9.21,8.30,1.43,0.476,F5
7.70,16.46,0.72,0.456,F6V
7.95,5.51,0.97,0.287,A7IV
8.30,1.71,0.70,1.206,K2III
8.30,2.87,1.29,0.351,A2
7.87,15.36,1.7,0.683,G1V
8.55,7.78,0.73,0.611,G0V
8.44,5.62,1.62,0.677,G0V
10.61,3.55,2.6,0.574,F8
8.9,2.95,1.6,1.523,K2
7.78,9.83,0.94,0.309,A3
9.45,5.78,1.49,0.270,A5
9.4,7.65,1.64,0.587,G8V
8.84,19.11,1.34,0.828,G5
7.11,3.22,0.93,1.710,M1III
8.26,3.73,1.10,0.170,A0
8.5,13.78,1.11,0.737,G5III
10.7,0.35,1.75,0.513,F0
10.12,26.49,1.98,1.70,M0
8.9,2.17,0.68,1.508,K5III
7.84,46.95,0.95,0.831,K0V
9.27,10.10,1.25,0.960,G8V
7.82,2.98,0.97,0.692,F5
8.99,24.16,1.40,0.895,K2
9.18,2.38,1.22,0.252,A8V
8.18,2.98,0.87,1.736,M
8.6,2.49,1.4,1.48,K0
8.22,10.93,1.14,0.463,F5V
8.6,1.39,0.80,1.85,K0III
10.48,3.1,1.19,0.487,
7.74,10.55,0.98,0.386,F0
8.57,3.24,1.12,1.22,G5
10.73,-2.16,1.31,1.500,
6.81,4.18,0.57,0.29,Ap
11.83,0.12,3.70,0.860,B
5.99,20.41,0.84,0.323,
9.34,4.20,1.18,0.608,G3V
9.35,3.97,1.21,0.520,F5
9.61,2.93,1.40,0.343,A
8.79,29.4,0.71,0.846,K2V
8.56,4.33,1.5,0.296,A3
9.54,4.19,2.65,0.240,A0
8.40,8.61,1.34,1.10,K0
8.88,16.0,1.24,0.608,G0
8.59,2.23,1.28,1.35,K0III
8.77,4.45,1.55,0.294,A2III
6.79,1.21,0.94,0.81,O9.5pe
8.50,12.77,1.15,0.534,F8V
7.62,11.34,0.62,0.536,
6.85,0.41,0.83,0.486,B3II
7.69,3.84,1.41,1.32,G5
7.87,4.28,0.75,1.9,K0IV
9.36,4.20,0.81,0.89,A0V
7.52,8.30,0.73,0.185,A4V
8.84,12.80,1.14,0.552,G5
8.99,0.7,1.40,0.205,B9
8.83,3.69,0.74,0.170,A4V
7.85,3.37,0.81,1.286,
9.19,3.51,0.85,0.419,
7.34,5.47,0.86,1.143,K1III
7.54,11.9,0.82,0.963,K0III
8.60,3.14,1.46,0.96,A2
6.82,25.4,0.86,0.518,F5
10.47,4.33,2.18,0.504,F2
8.55,8.40,1.41,0.496,F5
10.10,10.9,1.73,0.575,F8
6.74,0.48,1.4,0.349,
9.32,2.83,1.48,,
8.60,2.87,2.5,0.378,A5
8.58,4.66,1.17,0.484,F3V
9.55,5.25,0.90,0.397,F5V
9.48,4.87,1.50,0.597,G0III
7.81,7.87,0.65,0.320,F2V
10.15,,1.260,M0.,
8.52,5.80,0.68,0.273,A6V
9.65,5.62,1.12,0.453,F3V
9.69,2.5,1.57,0.400,B8
7.72,6.24,0.98,0.420,
7.43,3.86,0.92,1.286,
6.92,5.68,0.86,0.286,A7II
7.89,3.74,0.63,0.54,A0V
9.70,1.85,2.0,0.483,F8
8.88,1.84,1.26,0.202,A0
7.77,17.84,0.60,0.554,F8V
7.6,20.54,0.97,0.500,F5
8.81,8.69,0.91,0.435,
9.0,3.31,1.35,0.54,A0
8.56,9.54,1.11,0.528,F5
8.65,3.99,2.10,0.210,A0
9.10,2.16,1.38,0.640,F8
9.94,1.12,1.72,0.160,A2
8.70,10.7,1.6,0.593,G0
5.39,3.86,0.76,0.73,B6V
8.64,5.54,1.11,0.240,A0
9.2,7.62,1.97,1.160,
10.34,2.64,1.97,0.400,F2
8.34,2.31,0.70,1.180,K0III
6.14,8.79,0.50,1.94,
7.55,17.46,1.17,0.569,F7V
7.50,4.41,0.91,1.168,K0
7.88,6.73,1.20,1.8,G5
8.26,2.92,0.99,0.997,G5
8.40,6.89,0.81,0.478,F5V
9.46,1.85,2.36,0.476,F0
8.89,1.12,1.30,1.172,G5
11.85,,0.430,A7.,
9.10,3.78,1.44,0.351,A0m
7.54,5.1,0.86,1.106,
8.34,11.75,1.8,0.473,
6.53,46.74,0.96,0.698,G0
8.20,4.52,1.74,0.742,G5
8.96,2.65,1.9,0.128,B9
8.69,9.45,1.44,0.522,F6V
7.54,4.58,0.70,1.223,K2III
10.26,0.95,1.68,1.350,M
8.33,1.85,1.14,1.534,K5
8.13,12.0,0.72,0.511,
10.11,2.77,1.56,0.708,F8
8.25,1.94,1.25,1.41,K0
9.6,4.96,1.34,0.522,F8
7.75,0.35,0.99,0.220,
9.88,-4.61,6.17,0.559,F2
9.74,8.32,2.83,0.635,G3V
9.27,17.86,0.82,0.843,K1V
9.54,6.25,2.95,0.773,
6.37,0.81,0.87,1.585,M1III
8.14,4.75,1.84,1.24,G5
8.34,8.66,1.53,0.269,A0
6.88,25.77,0.81,0.748,G8V
7.84,21.41,1.24,0.688,G0
5.49,3.36,0.76,0.58,B1.5V
7.93,6.16,0.91,0.109,A1Vn
6.89,9.66,0.62,0.23,A0V
9.24,4.82,0.84,0.316,F0
6.31,16.64,0.63,0.333,A5m
8.76,6.11,1.22,0.501,A5
6.56,11.68,1.12,0.498,F5
8.94,1.51,1.31,1.212,K0
11.77,2.13,3.17,0.580,B
10.24,1.72,2.16,0.673,F5
9.13,2.17,1.47,1.22,K0
8.67,5.82,0.75,0.338,
9.36,1.33,0.87,1.416,
9.87,2.34,2.14,0.631,F8
9.33,6.49,1.24,0.932,K0
7.85,10.35,0.88,0.352,F0
6.75,2.50,0.63,1.513,K0
8.85,56.69,0.90,1.214,K5V
5.28,24.51,0.85,0.425,F5IV
7.55,7.53,1.22,0.308,A3:+
7.2,4.79,1.5,1.183,K0
6.18,9.41,0.86,0.269,F1V
8.46,2.35,0.75,1.443,K4III
8.39,10.36,0.93,0.601,G0V
8.19,3.65,1.8,0.752,G0
9.53,6.78,1.85,0.469,F2
7.92,5.44,1.31,0.594,F5
10.41,5.50,2.21,0.844,G0
8.2,3.81,1.33,0.321,A2
10.18,1.9,1.74,0.125,B9
8.30,15.24,1.6,0.551,F8
10.86,29.23,12.89,1.430,M1
9.90,18.76,1.22,0.957,K0
9.82,7.23,1.73,0.552,F2
8.30,1.30,0.78,1.471,M
7.24,5.60,0.66,0.953,K0III
8.36,4.89,1.15,0.500,F2
5.62,22.31,0.92,0.345,F2IV
9.64,0.10,1.69,0.531,A2
8.79,5.30,1.31,0.320,A
8.75,4.46,1.35,0.505,F0
9.90,17.17,1.54,0.817,G5
7.81,4.56,0.68,0.966,G8III
9.38,6.60,1.31,0.643,F8
9.75,3.91,1.19,0.252,B8
9.15,2.72,1.43,0.489,F5V
8.87,6.21,1.36,0.470,F8
6.9,13.26,0.87,0.58,A2Vn
6.97,3.31,0.64,1.310,K2III
7.99,3.86,0.95,1.238,K0III
9.31,3.71,0.91,1.47,
6.5,6.14,1.3,0.31,B9.5IV
9.93,1.95,1.76,1.311,K7
8.42,4.67,1.77,0.904,G5
4.99,1.76,0.74,1.435,
9.39,1.30,1.40,1.282,K0
6.84,8.1,1.9,1.30,K0
7.50,3.98,1.13,1.22,G8III
7.24,11.29,0.86,0.217,
9.18,8.13,0.93,0.532,G0V
7.79,9.4,0.67,0.422,F3V
8.23,3.63,0.66,1.85,
9.15,12.51,1.53,0.609,F8V
11.21,9.48,10.26,0.862,
9.22,2.12,1.37,1.160,K2
6.84,9.46,0.89,0.115,A2
8.59,6.19,1.26,0.122,A0
10.34,6.35,2.64,0.552,F8
8.96,8.84,1.50,0.625,G0
8.33,3.6,0.91,1.196,
9.56,9.64,1.93,0.557,F8
4.95,9.65,0.66,0.74,B9.5V
10.47,1.7,1.84,0.608,G0
7.36,8.26,0.90,0.28,A0
6.19,3.4,0.92,1.372,K0
10.32,-3.19,3.90,1.500,M0
8.17,3.65,1.31,0.739,G5
9.20,8.4,1.27,0.472,F2
8.7,63.41,2.0,1.115,K4V
9.22,13.40,1.7,0.686,G6V
8.73,1.80,1.28,0.953,G8IV
9.50,6.64,1.37,0.496,F5V
9.63,0.80,1.34,0.145,A0
8.44,8.21,0.71,0.453,F5V
6.98,17.88,0.84,0.428,F0
8.83,2.30,1.41,1.304,K0
8.51,7.13,1.80,0.200,F8
8.65,3.38,1.16,0.111,A0
8.10,3.58,1.20,1.58,K2
7.93,3.15,1.10,1.96,K0
9.84,6.52,2.50,0.600,F8
7.98,10.28,1.5,0.481,F2
8.69,8.22,0.90,0.811,G8IV
8.87,25.90,1.32,0.899,K1V
7.82,9.76,1.20,0.504,F8
8.35,5.8,0.70,0.318,A9III
8.41,9.65,0.70,0.377,F0V
8.78,27.72,2.77,,
2.90,6.6,0.82,0.199,B0.5V
9.54,-1.23,1.36,0.482,B8
8.1,15.22,0.73,0.490,
8.99,1.13,1.21,0.984,K0III
8.65,10.95,0.78,0.457,F5V
9.9,1.89,1.18,1.428,K3III
8.53,27.86,0.87,0.766,K0V
9.49,3.19,5.1,0.600,F8
11.7,-8.31,21.80,,
9.33,8.78,1.26,0.602,G2V
8.33,3.64,1.8,1.105,G5
9.40,9.68,1.50,0.518,F8
2.97,14.75,0.75,1.588,
6.63,4.35,0.64,1.266,K0
8.50,4.30,1.15,0.600,F8
6.54,16.32,0.83,0.228,A8V
12.93,3.26,8.19,,
8.51,7.28,1.32,0.137,A0
9.3,8.80,1.71,0.464,F5
9.69,7.51,1.59,0.480,F0
9.41,5.54,1.32,0.527,F5
9.11,5.1,1.39,1.171,
6.94,5.93,0.57,1.70,K0III
7.75,13.87,0.98,0.546,F5
7.98,3.24,0.76,1.287,K0
8.34,2.26,0.81,0.356,F0
8.86,1.82,2.70,0.240,A3
7.21,5.8,1.28,0.35,B9
7.59,3.92,1.4,1.637,K5
8.30,2.8,1.25,0.962,G5
11.14,0.64,2.72,1.541,M0
9.22,12.20,1.25,0.623,
10.26,2.44,2.0,1.580,R
6.32,7.83,0.79,1.81,K1III
9.16,3.58,1.23,0.61,A0
8.33,7.95,1.5,0.537,F8IV
9.9,2.66,1.21,1.77,G5
9.12,9.6,1.31,0.543,F7V
10.16,7.1,1.96,0.746,F0
8.62,4.78,0.82,0.495,F5V
9.65,1.33,3.50,0.588,G5V
8.99,1.61,1.23,1.31,K0III
8.6,7.68,0.88,0.302,F0
7.92,5.78,0.97,0.61,
8.41,7.32,1.8,0.727,G0
7.84,4.22,0.60,1.201,K1III
9.22,4.19,1.34,0.213,A0
8.70,6.20,0.94,0.465,
8.91,1.97,1.0,0.167,B8
7.24,3.64,0.97,1.696,M
9.66,6.20,1.60,0.641,F8
7.66,5.35,1.21,0.710,G5
8.99,0.97,1.18,0.208,A0
7.3,3.31,0.79,0.250,
9.64,0.1,1.37,1.95,K0
8.98,1.28,1.8,1.164,K2III
7.7,5.82,0.93,1.61,G5
8.31,2.35,0.71,1.317,K2III
8.10,2.5,0.72,1.240,
10.4,2.9,6.54,,
6.5,16.20,0.52,0.439,F2IV
9.51,2.37,1.16,0.567,B5
8.10,4.46,0.93,0.80,A0
8.30,10.93,1.29,0.498,F8
7.27,2.96,0.77,1.57,G5
4.56,6.15,0.46,1.590,M2III
9.21,0.27,0.84,1.614,M0III
8.47,0.10,1.13,1.712,K5
8.99,7.1,2.10,0.711,G5
11.19,1.91,3.11,0.524,F5
6.96,7.49,0.83,0.103,A0
10.90,0.2,2.29,0.730,
7.70,0.2,2.29,1.578,K2Ib
7.64,3.3,0.60,1.547,M3III
5.85,22.88,0.75,1.1,G9V
8.2,3.20,0.62,0.945,G8III
9.53,16.25,1.51,0.802,G5
8.89,17.31,1.53,0.784,K
8.43,4.54,1.38,0.205,A0
8.12,2.8,1.36,1.214,K1III
9.15,9.79,1.17,0.646,G5
10.92,17.69,2.5,0.975,
3.98,1.84,0.70,0.16,
9.26,2.88,1.17,1.169,
8.53,11.11,1.43,0.512,F5
9.97,10.38,2.61,0.581,G0
8.19,12.85,1.55,0.613,G0
8.11,6.38,0.76,0.391,F3V
7.36,7.56,1.9,1.67,K0
7.44,4.95,0.99,0.140,A0
9.30,2.30,1.76,1.156,K2
12.26,15.91,4.87,2.900,K5
7.88,3.47,0.66,0.51,A1IV
8.70,15.1,1.47,0.556,F8
8.90,2.19,1.33,1.776,M0
9.89,4.56,2.64,0.511,A7
11.76,9.3,3.5,1.108,
8.29,0.6,1.33,1.448,K2
11.16,2.95,2.77,,
9.31,4.64,1.61,0.786,K
8.65,5.2,1.17,1.122,K0III
8.5,7.2,0.78,0.475,F5V
6.77,7.51,0.93,1.178,G5
6.83,6.45,0.63,1.73,K1III
8.46,4.73,1.12,1.52,K0
7.48,3.69,1.6,1.207,K2
8.88,3.22,0.89,0.926,K0III
8.40,7.59,1.18,0.495,
7.92,7.54,0.95,0.157,A3
7.26,4.49,0.93,1.200,K1III
8.93,7.96,1.32,0.529,F8
10.96,8.64,2.20,0.655,F8
9.6,3.77,3.50,0.443,F2V+
8.23,4.9,1.23,1.267,K2
7.99,4.79,1.8,1.23,K0
5.61,3.66,0.90,1.479,K4III
9.24,7.6,0.98,0.684,G2V
9.17,0.87,0.89,1.18,K0
7.97,6.91,1.0,0.332,A2
10.0,4.5,1.13,0.868,
8.82,3.78,1.27,1.577,M0
9.48,0.61,1.41,0.170,B1IV
9.23,8.24,1.31,0.452,F3V
8.23,8.16,2.36,0.586,G0
6.82,6.52,0.55,0.246,A2m
6.51,2.97,1.29,0.113,A1Vp
6.35,25.42,1.5,0.417,F5V
9.42,3.43,0.99,1.136,K0III
7.27,3.15,0.94,0.109,B9
8.94,2.36,0.95,1.100,K0III
7.73,2.99,1.8,0.41,B8Vp
9.30,0.34,1.79,0.213,
8.53,11.78,1.44,0.724,G5
7.49,1.38,0.92,1.462,K3III
9.84,7.51,1.51,0.689,A5
8.59,5.79,1.17,0.167,A2
9.99,5.27,4.85,,
8.97,4.40,1.79,0.135,A0
9.37,0.63,1.71,0.110,B8
7.80,9.63,0.65,0.448,F5V
8.34,2.10,0.85,1.263,K0
4.62,9.85,0.68,0.121,
9.24,2.61,1.32,1.46,K0
8.66,4.1,1.13,0.450,A0
9.15,8.91,2.31,0.700,G0
6.70,2.32,0.53,1.516,K4III
7.12,11.32,0.93,0.508,F7V
7.20,3.40,0.66,1.177,
8.25,0.97,1.21,1.748,K5
9.24,4.11,1.41,0.845,G6V
9.1,2.56,0.97,1.102,K1III
10.31,2.98,2.0,0.576,F8
9.98,1.9,1.72,0.434,F2
8.82,1.40,0.79,1.589,M2
7.83,3.34,1.24,1.170,K1III
7.81,0.18,1.4,0.339,B9
6.89,4.93,0.81,0.135,A0
8.9,7.39,0.89,0.345,
10.79,7.78,2.13,0.775,
6.51,2.74,0.53,1.651,M1III
8.28,10.93,1.19,0.487,F5
8.48,5.71,1.12,0.969,K0III
8.39,2.16,1.25,1.716,M0III
8.58,2.43,1.4,1.591,M2III
10.45,3.80,2.15,1.500,R
8.35,3.34,1.12,0.230,A2
9.27,4.24,1.25,0.498,F8
8.26,2.25,0.65,0.850,G5III
9.33,16.97,1.66,0.558,G0
9.18,0.69,1.31,0.303,B0.5V
8.13,12.44,0.76,0.803,G8V
8.95,8.63,1.23,0.455,F2V
8.84,5.36,1.39,0.226,B8
8.43,13.44,1.13,0.514,F5V
11.45,0.71,2.99,1.821,M0
10.17,3.64,1.67,0.280,A2
9.57,22.59,1.24,0.934,
9.29,6.53,1.44,0.562,F5
9.15,2.58,1.52,0.210,B8
9.4,4.91,0.91,0.470,F5V
8.65,8.68,1.21,0.412,F5
9.9,15.54,0.79,0.640,G6V
8.36,18.50,0.79,0.611,G3V
8.25,7.20,1.17,0.180,A0
8.2,5.70,0.99,0.60,A0
6.31,3.53,0.92,0.56,A0V
7.31,6.6,1.5,1.420,K0
8.66,16.4,1.33,0.705,G4V
8.69,3.87,0.79,1.109,K2III
9.39,6.42,1.47,0.487,F8
8.72,2.10,1.33,0.414,F3V
5.93,9.9,0.64,0.36,A1V
3.41,8.81,0.99,0.99,
10.40,20.39,1.97,1.123,
9.2,2.44,0.80,1.292,
9.29,0.11,1.57,0.820,B3Ib
9.20,6.33,0.80,0.515,
6.60,9.86,0.51,0.80,
7.65,8.7,0.99,0.970,G5
7.3,6.56,0.71,0.109,A2V
9.98,9.9,1.84,0.718,G0
9.33,2.69,1.31,0.239,A0
8.60,5.20,1.25,0.353,A3
5.89,21.99,0.81,0.319,F4V
9.15,6.37,2.34,0.510,F2
9.65,0.2,1.99,,
7.86,6.16,0.55,0.298,
9.70,3.45,0.97,0.622,F8V
8.76,7.82,1.20,0.455,F8
8.26,2.69,1.69,0.388,
8.78,2.83,0.79,0.709,G3wp
9.29,1.80,1.7,1.147,K1III
4.48,6.65,0.48,1.500,M4III
8.64,14.90,1.34,0.707,G5V
8.12,3.45,1.23,1.12,K0III
8.62,3.74,1.45,0.120,A0
6.52,3.1,1.36,0.103,B9V
8.76,8.20,1.33,0.386,G0
7.70,3.88,0.64,0.138,A3V
9.26,5.52,1.22,0.801,G5
10.54,4.15,1.95,0.462,F0
9.19,5.11,1.35,1.39,K1III
9.96,4.85,1.55,0.565,F8
8.8,4.1,1.4,1.47,G8III
8.17,7.6,0.99,0.400,
8.88,3.75,1.29,0.585,
8.27,28.69,1.17,0.810,K0
9.68,3.80,1.60,0.380,A2
9.7,7.23,1.16,0.335,A9V
8.77,14.24,1.62,0.530,G0
6.76,6.26,0.94,1.55,K1III
9.20,6.42,1.44,0.661,G0
8.75,4.50,0.96,0.168,A2
8.90,0.87,1.41,1.639,K2
7.41,5.55,0.86,0.290,F0V
8.44,5.52,1.21,1.80,G5
8.60,7.15,1.15,0.642,G2V
6.39,8.74,0.89,0.5,A0V
7.20,15.30,0.86,0.396,F2
7.24,3.98,0.66,1.20,K0III
4.97,9.85,0.45,1.386,K4III
9.17,0.96,1.3,1.244,
8.20,62.57,0.87,1.132,K4V
9.47,3.77,1.3,0.579,G0V
7.52,15.0,0.89,0.531,F7V
7.29,7.0,0.98,0.126,A3V
9.91,8.34,1.40,0.730,F8
8.38,2.19,1.33,0.996,K0
8.93,3.43,1.58,0.300,A0
7.8,6.71,0.98,0.173,A0
7.14,7.77,0.89,1.41,K0
8.58,7.45,0.67,0.474,F5V
9.38,4.69,1.63,0.415,F0
9.5,0.68,0.87,0.975,G8III
9.45,8.69,1.63,0.564,F5
9.34,5.83,1.45,0.559,F5
5.28,7.20,0.83,0.133,B5V
9.24,3.50,7.50,0.845,K2
9.25,3.22,2.18,0.400,K0
9.54,3.75,1.55,0.529,F0
10.80,1.59,6.17,0.507,F2
7.74,3.50,1.63,1.274,K2
9.44,5.1,3.71,0.559,F8
7.4,0.62,0.77,1.138,G0Ib
9.77,4.57,1.49,0.190,
8.68,4.67,0.74,0.427,F3V
9.42,3.38,1.38,1.34,K0III
8.27,3.64,1.5,1.404,K0
8.1,2.14,0.92,1.315,K0
8.80,-1.19,1.93,1.274,G5
8.11,19.2,0.87,0.566,F6V
8.75,2.81,1.57,1.57,K0
8.80,6.80,1.12,0.336,A3
5.67,5.77,0.78,0.5,B5V
8.28,11.74,1.2,0.543,F8
9.28,4.61,1.73,0.200,A0
8.4,5.28,1.11,0.149,A0
7.65,7.59,1.1,0.420,F3V
8.65,3.96,1.32,0.129,A0
9.34,2.82,1.32,1.223,K2III
8.60,3.36,0.68,1.93,
7.83,8.20,1.13,0.541,F8V
8.22,10.92,1.7,0.366,F0
9.3,6.53,1.64,1.553,K2
