Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
8.58,3.50,0.90,0.60,B9
9.56,1.95,1.34,1.113,
9.24,63.3,1.98,1.390,M0V
9.63,5.96,2.2,0.509,F5V
5.80,80.63,3.3,0.690,G3V
9.5,1.27,1.11,0.976,O7
8.45,1.31,1.3,0.248,A2
8.86,3.89,1.83,1.35,
7.84,3.98,0.87,0.923,G5
8.86,3.82,1.7,0.530,K0
8.93,5.47,1.25,0.172,A1
7.97,9.2,2.50,0.556,F7V
6.90,14.91,0.90,0.534,G0V
8.47,2.80,1.12,1.171,K0
6.77,2.51,0.64,1.832,M0
8.55,3.32,1.16,1.4,K0
5.4,6.40,0.87,0.150,B4V
8.48,29.75,1.21,0.888,K0
8.53,11.74,1.80,0.530,F8
6.33,7.55,0.82,0.182,A6V
8.99,6.69,1.38,0.500,G0
8.64,10.49,1.23,0.488,F5
9.55,2.49,1.41,0.237,A3
8.74,10.47,1.17,0.570,G0
12.43,22.98,4.38,1.490,M3
8.16,3.31,1.11,1.32,G5
9.46,4.77,1.47,0.944,
5.70,26.53,0.77,0.315,F0V
7.62,8.8,1.0,0.517,F8
8.95,0.98,1.18,1.677,K5
8.97,1.62,1.16,0.952,K0
8.94,5.12,1.11,0.276,A0
7.24,4.7,0.88,0.74,A0
10.32,3.17,1.67,0.323,F2
8.24,10.6,0.99,0.474,F5
8.62,2.60,1.10,0.303,F0
9.18,2.16,1.59,0.981,K0III
8.53,2.53,1.0,1.274,K3III
8.54,8.84,1.25,0.384,F2
8.56,9.32,1.2,0.436,G0
9.41,2.46,1.7,0.967,
5.87,1.57,1.67,1.73,G8III
7.20,0.69,9.62,0.85,A2V
9.5,7.65,1.93,0.470,G0
9.52,3.88,1.36,0.832,G8
10.24,6.18,2.4,0.318,
7.70,7.80,0.95,1.3,G5
8.17,3.36,0.99,0.290,A3
7.29,2.73,0.63,0.118,A0
9.26,3.49,0.94,1.800,M2
7.94,3.21,0.89,0.16,A0
8.42,4.14,1.5,1.5,G8III
8.56,10.78,1.28,0.602,F8
7.52,6.27,0.81,0.180,A0
7.74,7.68,1.11,0.483,F2
8.85,2.62,1.16,1.113,K1III
